count,superkingdom,phylum,class,order,family,genus,species,strain,filename,sig_name,sig_md5,total_counts
196,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
196,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_D,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
176,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__Dorea_A longicatena,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
279,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
286,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
286,d__Bacteria,p__Pseudomonadota,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
150,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides thetaiotaomicron,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
150,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900313215,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
408,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
408,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
